Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/auto_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=auto
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:10:28.430000 393194 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/auto_1500_4gpu/train.log
step:0/1500 val_loss:10.98062 train_time:0.000s step_avg:nanms
step:1/1500 train_time:2.489s step_avg:2488.91ms
step:2/1500 train_time:2.971s step_avg:1485.50ms
step:3/1500 train_time:3.452s step_avg:1150.53ms
step:4/1500 train_time:3.932s step_avg:982.96ms
step:5/1500 train_time:4.416s step_avg:883.14ms
step:6/1500 train_time:4.899s step_avg:816.52ms
step:7/1500 train_time:5.383s step_avg:768.93ms
step:8/1500 train_time:5.867s step_avg:733.31ms
step:9/1500 train_time:6.347s step_avg:705.25ms
step:10/1500 train_time:6.829s step_avg:682.86ms
step:11/1500 train_time:7.311s step_avg:664.67ms
step:12/1500 train_time:7.793s step_avg:649.44ms
step:13/1500 train_time:8.278s step_avg:636.74ms
step:14/1500 train_time:8.760s step_avg:625.72ms
step:15/1500 train_time:9.245s step_avg:616.35ms
step:16/1500 train_time:9.727s step_avg:607.96ms
step:17/1500 train_time:10.211s step_avg:600.62ms
step:18/1500 train_time:10.691s step_avg:593.97ms
step:19/1500 train_time:11.174s step_avg:588.09ms
step:20/1500 train_time:11.657s step_avg:582.85ms
step:21/1500 train_time:12.140s step_avg:578.12ms
step:22/1500 train_time:12.623s step_avg:573.79ms
step:23/1500 train_time:13.108s step_avg:569.92ms
step:24/1500 train_time:13.591s step_avg:566.31ms
step:25/1500 train_time:14.075s step_avg:562.99ms
step:26/1500 train_time:14.560s step_avg:559.98ms
step:27/1500 train_time:15.046s step_avg:557.26ms
step:28/1500 train_time:15.531s step_avg:554.69ms
step:29/1500 train_time:16.015s step_avg:552.25ms
step:30/1500 train_time:16.499s step_avg:549.97ms
step:31/1500 train_time:16.985s step_avg:547.90ms
step:32/1500 train_time:17.470s step_avg:545.95ms
step:33/1500 train_time:17.955s step_avg:544.10ms
step:34/1500 train_time:18.439s step_avg:542.33ms
step:35/1500 train_time:18.926s step_avg:540.73ms
step:36/1500 train_time:19.410s step_avg:539.16ms
step:37/1500 train_time:19.893s step_avg:537.66ms
step:38/1500 train_time:20.378s step_avg:536.27ms
step:39/1500 train_time:20.864s step_avg:534.98ms
step:40/1500 train_time:21.349s step_avg:533.73ms
step:41/1500 train_time:21.834s step_avg:532.54ms
step:42/1500 train_time:22.321s step_avg:531.44ms
step:43/1500 train_time:22.806s step_avg:530.38ms
step:44/1500 train_time:23.291s step_avg:529.34ms
step:45/1500 train_time:23.775s step_avg:528.34ms
step:46/1500 train_time:24.262s step_avg:527.43ms
step:47/1500 train_time:24.749s step_avg:526.57ms
step:48/1500 train_time:25.233s step_avg:525.69ms
step:49/1500 train_time:25.718s step_avg:524.86ms
step:50/1500 train_time:26.203s step_avg:524.06ms
step:51/1500 train_time:26.689s step_avg:523.31ms
step:52/1500 train_time:27.173s step_avg:522.57ms
step:53/1500 train_time:27.658s step_avg:521.85ms
step:54/1500 train_time:28.143s step_avg:521.17ms
step:55/1500 train_time:28.630s step_avg:520.54ms
step:56/1500 train_time:29.114s step_avg:519.89ms
step:57/1500 train_time:29.598s step_avg:519.26ms
