Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:23:27.255000 449408 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_1500_4gpu/train.log
step:0/1500 val_loss:11.02531 train_time:0.000s step_avg:nanms
step:1/1500 train_time:2.420s step_avg:2420.41ms
step:2/1500 train_time:3.072s step_avg:1536.22ms
step:3/1500 train_time:3.742s step_avg:1247.18ms
step:4/1500 train_time:4.395s step_avg:1098.82ms
step:5/1500 train_time:5.062s step_avg:1012.42ms
step:6/1500 train_time:5.718s step_avg:952.92ms
step:7/1500 train_time:6.382s step_avg:911.70ms
step:8/1500 train_time:7.044s step_avg:880.44ms
step:9/1500 train_time:7.712s step_avg:856.84ms
step:10/1500 train_time:8.369s step_avg:836.94ms
step:11/1500 train_time:9.033s step_avg:821.14ms
step:12/1500 train_time:9.691s step_avg:807.57ms
step:13/1500 train_time:10.363s step_avg:797.18ms
step:14/1500 train_time:11.022s step_avg:787.31ms
step:15/1500 train_time:11.682s step_avg:778.81ms
step:16/1500 train_time:12.345s step_avg:771.56ms
step:17/1500 train_time:13.007s step_avg:765.13ms
step:18/1500 train_time:13.669s step_avg:759.38ms
step:19/1500 train_time:14.332s step_avg:754.32ms
step:20/1500 train_time:14.989s step_avg:749.45ms
step:21/1500 train_time:15.654s step_avg:745.44ms
step:22/1500 train_time:16.314s step_avg:741.56ms
step:23/1500 train_time:16.975s step_avg:738.03ms
step:24/1500 train_time:17.639s step_avg:734.94ms
step:25/1500 train_time:18.305s step_avg:732.20ms
step:26/1500 train_time:18.968s step_avg:729.55ms
step:27/1500 train_time:19.632s step_avg:727.11ms
step:28/1500 train_time:20.295s step_avg:724.81ms
step:29/1500 train_time:20.959s step_avg:722.73ms
step:30/1500 train_time:21.622s step_avg:720.74ms
step:31/1500 train_time:22.283s step_avg:718.81ms
step:32/1500 train_time:22.948s step_avg:717.13ms
step:33/1500 train_time:23.609s step_avg:715.43ms
step:34/1500 train_time:24.270s step_avg:713.83ms
step:35/1500 train_time:24.932s step_avg:712.36ms
step:36/1500 train_time:25.594s step_avg:710.95ms
step:37/1500 train_time:26.255s step_avg:709.60ms
step:38/1500 train_time:26.919s step_avg:708.40ms
