Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_4gpu --set train_steps=3325 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 12:14:23.556000 659778 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_4gpu/train.log
step:0/3325 val_loss:10.96606 train_time:0.000s step_avg:nanms
step:1/3325 train_time:2.320s step_avg:2320.17ms
step:2/3325 train_time:2.968s step_avg:1484.08ms
step:3/3325 train_time:3.620s step_avg:1206.55ms
step:4/3325 train_time:4.270s step_avg:1067.56ms
step:5/3325 train_time:4.924s step_avg:984.75ms
step:6/3325 train_time:5.579s step_avg:929.87ms
step:7/3325 train_time:6.230s step_avg:890.05ms
step:8/3325 train_time:6.885s step_avg:860.62ms
step:9/3325 train_time:7.540s step_avg:837.74ms
step:10/3325 train_time:8.193s step_avg:819.30ms
step:11/3325 train_time:8.847s step_avg:804.27ms
step:12/3325 train_time:9.502s step_avg:791.83ms
step:13/3325 train_time:10.161s step_avg:781.61ms
step:14/3325 train_time:10.819s step_avg:772.75ms
step:15/3325 train_time:11.480s step_avg:765.35ms
step:16/3325 train_time:12.135s step_avg:758.45ms
step:17/3325 train_time:12.790s step_avg:752.36ms
step:18/3325 train_time:13.447s step_avg:747.06ms
step:19/3325 train_time:14.101s step_avg:742.14ms
step:20/3325 train_time:14.759s step_avg:737.94ms
step:21/3325 train_time:15.413s step_avg:733.94ms
step:22/3325 train_time:16.074s step_avg:730.63ms
step:23/3325 train_time:16.729s step_avg:727.35ms
step:24/3325 train_time:17.391s step_avg:724.62ms
step:25/3325 train_time:18.047s step_avg:721.89ms
step:26/3325 train_time:18.710s step_avg:719.60ms
step:27/3325 train_time:19.366s step_avg:717.27ms
step:28/3325 train_time:20.024s step_avg:715.16ms
step:29/3325 train_time:20.691s step_avg:713.49ms
step:30/3325 train_time:21.343s step_avg:711.44ms
step:31/3325 train_time:22.002s step_avg:709.73ms
step:32/3325 train_time:22.658s step_avg:708.07ms
step:33/3325 train_time:23.317s step_avg:706.56ms
step:34/3325 train_time:23.971s step_avg:705.03ms
step:35/3325 train_time:24.628s step_avg:703.66ms
step:36/3325 train_time:25.288s step_avg:702.46ms
step:37/3325 train_time:25.949s step_avg:701.33ms
step:38/3325 train_time:26.609s step_avg:700.23ms
step:39/3325 train_time:27.270s step_avg:699.23ms
step:40/3325 train_time:27.930s step_avg:698.26ms
step:41/3325 train_time:28.596s step_avg:697.46ms
step:42/3325 train_time:29.252s step_avg:696.48ms
step:43/3325 train_time:29.912s step_avg:695.62ms
step:44/3325 train_time:30.574s step_avg:694.86ms
step:45/3325 train_time:31.233s step_avg:694.07ms
step:46/3325 train_time:31.895s step_avg:693.37ms
step:47/3325 train_time:32.554s step_avg:692.64ms
step:48/3325 train_time:33.214s step_avg:691.96ms
step:49/3325 train_time:33.873s step_avg:691.29ms
step:50/3325 train_time:34.527s step_avg:690.55ms
step:51/3325 train_time:35.185s step_avg:689.90ms
step:52/3325 train_time:35.841s step_avg:689.25ms
step:53/3325 train_time:36.500s step_avg:688.68ms
step:54/3325 train_time:37.159s step_avg:688.13ms
step:55/3325 train_time:37.815s step_avg:687.55ms
step:56/3325 train_time:38.475s step_avg:687.05ms
step:57/3325 train_time:39.130s step_avg:686.48ms
step:58/3325 train_time:39.795s step_avg:686.12ms
step:59/3325 train_time:40.449s step_avg:685.57ms
step:60/3325 train_time:41.109s step_avg:685.14ms
step:61/3325 train_time:41.770s step_avg:684.75ms
step:62/3325 train_time:42.435s step_avg:684.43ms
step:63/3325 train_time:43.098s step_avg:684.09ms
step:64/3325 train_time:43.756s step_avg:683.69ms
step:65/3325 train_time:44.418s step_avg:683.35ms
step:66/3325 train_time:45.080s step_avg:683.04ms
step:67/3325 train_time:45.742s step_avg:682.71ms
step:68/3325 train_time:46.400s step_avg:682.35ms
step:69/3325 train_time:47.061s step_avg:682.04ms
step:70/3325 train_time:47.721s step_avg:681.73ms
step:71/3325 train_time:48.382s step_avg:681.44ms
step:72/3325 train_time:49.043s step_avg:681.15ms
step:73/3325 train_time:49.701s step_avg:680.84ms
step:74/3325 train_time:50.362s step_avg:680.57ms
step:75/3325 train_time:51.019s step_avg:680.26ms
step:76/3325 train_time:51.682s step_avg:680.02ms
step:77/3325 train_time:52.343s step_avg:679.78ms
step:78/3325 train_time:53.002s step_avg:679.51ms
step:79/3325 train_time:53.666s step_avg:679.32ms
step:80/3325 train_time:54.325s step_avg:679.06ms
step:81/3325 train_time:54.987s step_avg:678.85ms
step:82/3325 train_time:55.648s step_avg:678.63ms
step:83/3325 train_time:56.307s step_avg:678.40ms
step:84/3325 train_time:56.966s step_avg:678.17ms
step:85/3325 train_time:57.624s step_avg:677.93ms
step:86/3325 train_time:58.286s step_avg:677.75ms
step:87/3325 train_time:58.947s step_avg:677.55ms
step:88/3325 train_time:59.606s step_avg:677.34ms
step:89/3325 train_time:60.268s step_avg:677.17ms
step:90/3325 train_time:60.931s step_avg:677.01ms
step:91/3325 train_time:61.591s step_avg:676.82ms
step:92/3325 train_time:62.257s step_avg:676.70ms
step:93/3325 train_time:62.915s step_avg:676.51ms
step:94/3325 train_time:63.579s step_avg:676.38ms
step:95/3325 train_time:64.243s step_avg:676.24ms
step:96/3325 train_time:64.902s step_avg:676.06ms
step:97/3325 train_time:65.566s step_avg:675.94ms
step:98/3325 train_time:66.228s step_avg:675.80ms
step:99/3325 train_time:66.896s step_avg:675.71ms
step:100/3325 train_time:67.553s step_avg:675.53ms
step:101/3325 train_time:68.216s step_avg:675.41ms
step:102/3325 train_time:68.876s step_avg:675.25ms
step:103/3325 train_time:69.540s step_avg:675.14ms
step:104/3325 train_time:70.198s step_avg:674.98ms
step:105/3325 train_time:70.863s step_avg:674.89ms
step:106/3325 train_time:71.529s step_avg:674.80ms
step:107/3325 train_time:72.194s step_avg:674.71ms
step:108/3325 train_time:72.859s step_avg:674.62ms
step:109/3325 train_time:73.520s step_avg:674.49ms
step:110/3325 train_time:74.187s step_avg:674.42ms
step:111/3325 train_time:74.845s step_avg:674.28ms
step:112/3325 train_time:75.509s step_avg:674.19ms
step:113/3325 train_time:76.181s step_avg:674.17ms
step:114/3325 train_time:76.848s step_avg:674.10ms
step:115/3325 train_time:77.508s step_avg:673.98ms
step:116/3325 train_time:78.176s step_avg:673.93ms
step:117/3325 train_time:78.833s step_avg:673.79ms
step:118/3325 train_time:79.503s step_avg:673.75ms
step:119/3325 train_time:80.164s step_avg:673.65ms
step:120/3325 train_time:80.834s step_avg:673.62ms
step:121/3325 train_time:81.494s step_avg:673.50ms
step:122/3325 train_time:82.163s step_avg:673.47ms
step:123/3325 train_time:82.822s step_avg:673.35ms
