Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr025_4gpu --set train_steps=3325 --set leon_lr=0.025 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=input
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 13:43:13.439000 1042141 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/input_3325_lr025_4gpu/train.log
step:0/3325 val_loss:10.98433 train_time:0.000s step_avg:nanms
step:1/3325 train_time:2.771s step_avg:2771.05ms
step:2/3325 train_time:3.432s step_avg:1716.18ms
step:3/3325 train_time:4.092s step_avg:1363.84ms
step:4/3325 train_time:4.752s step_avg:1188.02ms
step:5/3325 train_time:5.409s step_avg:1081.81ms
step:6/3325 train_time:6.068s step_avg:1011.35ms
step:7/3325 train_time:6.732s step_avg:961.68ms
step:8/3325 train_time:7.391s step_avg:923.86ms
step:9/3325 train_time:8.053s step_avg:894.78ms
step:10/3325 train_time:8.712s step_avg:871.25ms
step:11/3325 train_time:9.375s step_avg:852.24ms
step:12/3325 train_time:10.037s step_avg:836.41ms
step:13/3325 train_time:10.696s step_avg:822.77ms
step:14/3325 train_time:11.356s step_avg:811.16ms
step:15/3325 train_time:12.017s step_avg:801.12ms
step:16/3325 train_time:12.676s step_avg:792.27ms
step:17/3325 train_time:13.341s step_avg:784.74ms
step:18/3325 train_time:14.001s step_avg:777.83ms
step:19/3325 train_time:14.674s step_avg:772.32ms
step:20/3325 train_time:15.335s step_avg:766.73ms
step:21/3325 train_time:15.996s step_avg:761.70ms
step:22/3325 train_time:16.657s step_avg:757.14ms
step:23/3325 train_time:17.317s step_avg:752.93ms
step:24/3325 train_time:17.977s step_avg:749.04ms
step:25/3325 train_time:18.640s step_avg:745.58ms
step:26/3325 train_time:19.302s step_avg:742.39ms
step:27/3325 train_time:19.966s step_avg:739.47ms
step:28/3325 train_time:20.633s step_avg:736.88ms
step:29/3325 train_time:21.295s step_avg:734.29ms
step:30/3325 train_time:21.957s step_avg:731.91ms
step:31/3325 train_time:22.619s step_avg:729.65ms
step:32/3325 train_time:23.281s step_avg:727.52ms
step:33/3325 train_time:23.948s step_avg:725.70ms
step:34/3325 train_time:24.606s step_avg:723.70ms
step:35/3325 train_time:25.274s step_avg:722.11ms
step:36/3325 train_time:25.935s step_avg:720.42ms
step:37/3325 train_time:26.599s step_avg:718.89ms
step:38/3325 train_time:27.263s step_avg:717.45ms
step:39/3325 train_time:27.927s step_avg:716.09ms
step:40/3325 train_time:28.588s step_avg:714.69ms
step:41/3325 train_time:29.256s step_avg:713.56ms
step:42/3325 train_time:29.916s step_avg:712.29ms
step:43/3325 train_time:30.578s step_avg:711.11ms
step:44/3325 train_time:31.244s step_avg:710.09ms
step:45/3325 train_time:31.908s step_avg:709.07ms
step:46/3325 train_time:32.572s step_avg:708.09ms
step:47/3325 train_time:33.234s step_avg:707.12ms
step:48/3325 train_time:33.897s step_avg:706.18ms
step:49/3325 train_time:34.562s step_avg:705.35ms
step:50/3325 train_time:35.227s step_avg:704.53ms
step:51/3325 train_time:35.887s step_avg:703.67ms
step:52/3325 train_time:36.555s step_avg:702.98ms
step:53/3325 train_time:37.217s step_avg:702.21ms
step:54/3325 train_time:37.880s step_avg:701.48ms
step:55/3325 train_time:38.545s step_avg:700.81ms
step:56/3325 train_time:39.208s step_avg:700.15ms
step:57/3325 train_time:39.873s step_avg:699.52ms
step:58/3325 train_time:40.537s step_avg:698.92ms
step:59/3325 train_time:41.201s step_avg:698.31ms
step:60/3325 train_time:41.865s step_avg:697.74ms
step:61/3325 train_time:42.533s step_avg:697.27ms
step:62/3325 train_time:43.194s step_avg:696.68ms
step:63/3325 train_time:43.859s step_avg:696.18ms
step:64/3325 train_time:44.522s step_avg:695.65ms
step:65/3325 train_time:45.191s step_avg:695.25ms
step:66/3325 train_time:45.855s step_avg:694.78ms
step:67/3325 train_time:46.525s step_avg:694.41ms
