Running: torchrun --standalone --nproc_per_node=4 records/track_3_optimization/train_gpt_simple_leonh.py --trials 1 --out-dir records/track_3_optimization/runs/leonh/20260514-precond-side/output_1500_4gpu --set train_steps=1500 --set leon_lr=0.0175 --set leon_beta2=0.6 --set leon_mu=0.95 --set leon_ns_iters=12 --set leon_orthogonalize_dtype=float32 --set leon_eps=1e-12 --set leon_cooldown_frac=1.0 --set leon_precondition_side=output
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] 
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 11:40:51.631000 525786 /ssd1/rj23424/venvs/modded-nanogpt/lib/python3.12/site-packages/torch/distributed/run.py:851] *****************************************
records/track_3_optimization/runs/leonh/20260514-precond-side/output_1500_4gpu/train.log
step:0/1500 val_loss:11.01109 train_time:0.000s step_avg:nanms
step:1/1500 train_time:2.667s step_avg:2666.63ms
step:2/1500 train_time:3.328s step_avg:1663.88ms
step:3/1500 train_time:3.992s step_avg:1330.61ms
step:4/1500 train_time:4.650s step_avg:1162.46ms
step:5/1500 train_time:5.312s step_avg:1062.47ms
step:6/1500 train_time:5.976s step_avg:995.94ms
step:7/1500 train_time:6.635s step_avg:947.88ms
step:8/1500 train_time:7.300s step_avg:912.47ms
step:9/1500 train_time:7.962s step_avg:884.72ms
step:10/1500 train_time:8.626s step_avg:862.64ms
step:11/1500 train_time:9.291s step_avg:844.62ms
step:12/1500 train_time:9.953s step_avg:829.45ms
step:13/1500 train_time:10.617s step_avg:816.67ms
step:14/1500 train_time:11.280s step_avg:805.73ms
step:15/1500 train_time:11.944s step_avg:796.24ms
step:16/1500 train_time:12.609s step_avg:788.08ms
step:17/1500 train_time:13.273s step_avg:780.75ms
step:18/1500 train_time:13.936s step_avg:774.23ms
step:19/1500 train_time:14.603s step_avg:768.57ms
step:20/1500 train_time:15.271s step_avg:763.56ms
step:21/1500 train_time:15.934s step_avg:758.78ms
step:22/1500 train_time:16.598s step_avg:754.45ms
step:23/1500 train_time:17.266s step_avg:750.69ms
step:24/1500 train_time:17.928s step_avg:746.99ms
step:25/1500 train_time:18.596s step_avg:743.83ms
step:26/1500 train_time:19.260s step_avg:740.76ms
step:27/1500 train_time:19.932s step_avg:738.22ms
step:28/1500 train_time:20.595s step_avg:735.55ms
step:29/1500 train_time:21.263s step_avg:733.20ms
step:30/1500 train_time:21.926s step_avg:730.86ms
step:31/1500 train_time:22.591s step_avg:728.74ms
step:32/1500 train_time:23.253s step_avg:726.67ms
step:33/1500 train_time:23.919s step_avg:724.81ms
step:34/1500 train_time:24.583s step_avg:723.02ms
step:35/1500 train_time:25.249s step_avg:721.41ms
step:36/1500 train_time:25.913s step_avg:719.82ms
step:37/1500 train_time:26.576s step_avg:718.28ms
step:38/1500 train_time:27.238s step_avg:716.79ms
step:39/1500 train_time:27.909s step_avg:715.61ms
step:40/1500 train_time:28.571s step_avg:714.29ms
step:41/1500 train_time:29.236s step_avg:713.06ms
step:42/1500 train_time:29.903s step_avg:711.98ms
step:43/1500 train_time:30.568s step_avg:710.89ms
step:44/1500 train_time:31.233s step_avg:709.84ms
step:45/1500 train_time:31.898s step_avg:708.83ms
step:46/1500 train_time:32.562s step_avg:707.87ms
step:47/1500 train_time:33.228s step_avg:706.98ms
step:48/1500 train_time:33.894s step_avg:706.13ms
step:49/1500 train_time:34.555s step_avg:705.20ms
step:50/1500 train_time:35.221s step_avg:704.41ms
step:51/1500 train_time:35.888s step_avg:703.68ms
step:52/1500 train_time:36.550s step_avg:702.89ms
step:53/1500 train_time:37.217s step_avg:702.20ms
step:54/1500 train_time:37.880s step_avg:701.49ms
step:55/1500 train_time:38.544s step_avg:700.81ms
step:56/1500 train_time:39.212s step_avg:700.21ms
step:57/1500 train_time:39.877s step_avg:699.59ms
step:58/1500 train_time:40.540s step_avg:698.97ms
step:59/1500 train_time:41.216s step_avg:698.57ms
step:60/1500 train_time:41.880s step_avg:698.00ms
step:61/1500 train_time:42.549s step_avg:697.53ms
step:62/1500 train_time:43.219s step_avg:697.08ms
step:63/1500 train_time:43.886s step_avg:696.60ms
step:64/1500 train_time:44.553s step_avg:696.14ms
